	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
A	4.5h A1	4.5h A2	4.5h A3	4.5h A4	4.5h A5	4.5h A6	4.5h A7	4.5h A8	4.5h A9	4.5h A10	4.5h A11	4.5h A12	12h A1	12h A2	12h A3	12h A4	12h A5	12h A6	12h A7	12h A8	12h A9	12h A10	12h A11
B	5.5h A1	 5.5h A2	5.5h A3	5.5h A4	5.5h A5	5.5h A6	5.5h A7	5.5h A8	5.5h A9	5.5h A10	5.5h A11	5.5h A12	24h A1	24h A2	24h A3	24h A4	24h A5	24h A6	24h A7	24h A8	24h A9	24h A10	24h A11
C	4.5h B1	4.5h B2	4.5h B3	4.5h B4	4.5h B5	4.5h B6	4.5h B7	4.5h B8	4.5h B9	4.5h B10	4.5h B11	4.5h B12	12h B1	12h B2	12h B3	12h B4	12h B5	12h B6	12h B7	12h B8	12h B9	12h B10	12h B11
D	5.5h B1	 5.5h B2	5.5h B3	5.5h B4	5.5h B5	5.5h B6	5.5h B7	5.5h B8	5.5h B9	5.5h B10	5.5h B11	5.5h B12	24h B1	24h B2	24h B3	24h B4	24h B5	24h B6	24h B7	24h B8	24h B9	24h B10	24h B11
E	4.5h C1	4.5h C2	4.5h C3	4.5h C4	4.5h C5	4.5h C6	4.5h C7	4.5h C8	4.5h C9	4.5h C10	4.5h C11	4.5h C12	12h C1	12h C2	12h C3	12h C4	12h C5	12h C6	12h C7	12h C8	12h C9	12h C10	12h C11
F	5.5h C1	 5.5h C2	5.5h C3	5.5h C4	5.5h C5	5.5h C6	5.5h C7	5.5h C8	5.5h C9	5.5h C10	5.5h C11	5.5h C12	24h C1	24h C2	24h C3	24h C4	24h C5	24h C6	24h C7	24h C8	24h C9	24h C10	24h C11
G	4.5h D1	4.5h D2	4.5h D3	4.5h D4	4.5h D5	4.5h D6	4.5h D7	4.5h D8	4.5h D9	4.5h D10	4.5h D11	4.5h D12	12h D1	12h D2	12h D3	12h D4	12h D5	12h D6	12h D7	12h D8	12h D9	12h D10	12h D11
H	5.5h D1	 5.5h D2	5.5h D3	5.5h D4	5.5h D5	5.5h D6	5.5h D7	5.5h D8	5.5h D9	5.5h D10	5.5h D11	5.5h D12	24h D1	24h D2	24h D3	24h D4	24h D5	24h D6	24h D7	24h D8	24h D9	24h D10	24h D11
I	4.5h E1	4.5h E2	4.5h E3	4.5h E4	4.5h E5	4.5h E6	4.5h E7	4.5h E8	4.5h E9	4.5h E10	4.5h E11	4.5h E12	12h E1	12h E2	12h E3	12h E4	12h E5	12h E6	12h E7	12h E8	12h E9	12h E10	12h E11
J	5.5h E1	 5.5h E2	5.5h E3	5.5h E4	5.5h E5	5.5h E6	5.5h E7	5.5h E8	5.5h E9	5.5h E10	5.5h E11	5.5h E12	24h E1	24h E2	24h E3	24h E4	24h E5	24h E6	24h E7	24h E8	24h E9	24h E10	24h E11
K	4.5h F1	4.5h F2	4.5h F3	4.5h F4	4.5h F5	4.5h F6	4.5h F7	4.5h F8	4.5h F9	4.5h F10	4.5h F11	4.5h F12	12h F1	12h F2	12h F3	12h F4	12h F5	12h F6	12h F7	12h F8	12h F9	12h F10	12h F11
L	5.5h F1	 5.5h F2	5.5h F3	5.5h F4	5.5h F5	5.5h F6	5.5h F7	5.5h F8	5.5h F9	5.5h F10	5.5h F11	5.5h F12	24h F1	24h F2	24h F3	24h F4	24h F5	24h F6	24h F7	24h F8	24h F9	24h F10	24h F11
M	4.5h G1	4.5h G2	4.5h G3	4.5h G4	4.5h G5	4.5h G6	4.5h G7	4.5h G8	4.5h G9	4.5h G10	4.5h G11	4.5h G12	12h G1	12h G2	12h G3	12h G4	12h G5	12h G6	12h G7	12h G8	12h G9	12h G10	12h G11
