"New assay (8)"
"mFM P6 031121"
"03/11/2021 10:55:17"
""
"Completed"
"10 fold dilution"

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.631
"A2","A2",0.717
"A3","A3",0.614
"A4","A4",0.710
"A5","A5",0.701
"A6","A6",0.722
"A7","A7",0.637
"A8","A8",0.572
"A9","A9",0.642
"A10","A10",0.709
"A11","A11",0.627
"A12","A12",0.729
"B1","B1",0.541
"B2","B2",0.522
"B3","B3",0.601
"B4","B4",0.770
"B5","B5",0.587
"B6","B6",0.640
"B7","B7",0.488
"B8","B8",0.512
"B9","B9",0.594
"B10","B10",0.681
"B11","B11",0.555
"B12","B12",0.716
"C1","C1",0.579
"C2","C2",0.568
"C3","C3",0.592
"C4","C4",0.646
"C5","C5",0.638
"C6","C6",0.522
"C7","C7",0.447
"C8","C8",0.561
"C9","C9",0.601
"C10","C10",0.710
"C11","C11",0.467
"C12","C12",0.506
"D1","D1",0.649
"D2","D2",0.671
"D3","D3",0.497
"D4","D4",0.529
"D5","D5",0.493
"D6","D6",0.743
"D7","D7",0.521
"D8","D8",0.644
"D9","D9",0.452
"D10","D10",0.609
"D11","D11",0.531
"D12","D12",0.696
"E1","E1",0.630
"E2","E2",0.707
"E3","E3",0.655
"E4","E4",0.609
"E5","E5",0.537
"E6","E6",0.675
"E7","E7",0.609
"E8","E8",0.686
"E9","E9",0.706
"E10","E10",0.702
"E11","E11",0.474
"E12","E12",0.718
"F1","F1",0.646
"F2","F2",0.609
"F3","F3",0.551
"F4","F4",0.557
"F5","F5",0.619
"F6","F6",0.555
"F7","F7",0.647
"F8","F8",0.637
"F9","F9",0.521
"F10","F10",0.552
"F11","F11",0.520
"F12","F12",0.522
"G1","G1",0.694
"G2","G2",0.580
"G3","G3",0.704
"G4","G4",0.501
"G5","G5",0.597
"G6","G6",0.616
"G7","G7",0.810
"G8","G8",0.582
"G9","G9",0.702
"G10","G10",0.502
"G11","G11",0.540
"G12","G12",0.721
"H1","H1",0.042
"H2","H2",0.041
"H3","H3",0.043
"H4","H4",0.042
"H5","H5",0.041
"H6","H6",0.041
"H7","H7",0.040
"H8","H8",0.039
"H9","H9",0.041
"H10","H10",0.038
"H11","H11",0.040
"H12","H12",0.039
