"New assay (8)"
"no plasmid mFM 031121"
"03/11/2021 10:58:50"
""
"Completed"
"10 fold dilution"

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.263
"A2","A2",1.120
"A3","A3",0.636
"A4","A4",0.053
"A5","A5",0.748
"A6","A6",0.651
"A7","A7",0.259
"A8","A8",1.002
"A9","A9",0.688
"A10","A10",0.054
"A11","A11",0.640
"A12","A12",0.664
"B1","B1",0.126
"B2","B2",0.195
"B3","B3",0.166
"B4","B4",0.676
"B5","B5",0.625
"B6","B6",0.834
"B7","B7",0.096
"B8","B8",0.164
"B9","B9",0.138
"B10","B10",0.578
"B11","B11",0.529
"B12","B12",0.731
"C1","C1",0.733
"C2","C2",0.893
"C3","C3",0.847
"C4","C4",0.644
"C5","C5",0.587
"C6","C6",0.724
"C7","C7",0.668
"C8","C8",0.730
"C9","C9",0.607
"C10","C10",0.724
"C11","C11",0.593
"C12","C12",0.680
"D1","D1",0.942
"D2","D2",0.610
"D3","D3",0.570
"D4","D4",0.384
"D5","D5",0.118
"D6","D6",0.672
"D7","D7",0.736
"D8","D8",0.659
"D9","D9",0.563
"D10","D10",0.362
"D11","D11",0.105
"D12","D12",0.654
"E1","E1",0.150
"E2","E2",0.647
"E3","E3",0.635
"E4","E4",0.480
"E5","E5",0.114
"E6","E6",0.589
"E7","E7",0.138
"E8","E8",0.664
"E9","E9",0.541
"E10","E10",0.537
"E11","E11",0.098
"E12","E12",0.584
"F1","F1",0.511
"F2","F2",0.423
"F3","F3",0.636
"F4","F4",0.769
"F5","F5",0.122
"F6","F6",0.597
"F7","F7",0.502
"F8","F8",0.409
"F9","F9",0.647
"F10","F10",0.723
"F11","F11",0.107
"F12","F12",0.644
"G1","G1",0.151
"G2","G2",0.617
"G3","G3",0.615
"G4","G4",0.616
"G5","G5",0.614
"G6","G6",0.452
"G7","G7",0.109
"G8","G8",0.605
"G9","G9",0.582
"G10","G10",0.601
"G11","G11",0.612
"G12","G12",0.414
"H1","H1",0.037
"H2","H2",0.040
"H3","H3",0.045
"H4","H4",0.041
"H5","H5",0.039
"H6","H6",0.040
"H7","H7",0.037
"H8","H8",0.039
"H9","H9",0.042
"H10","H10",0.041
"H11","H11",0.038
"H12","H12",0.039
