"New assay (8)"
"FM P4 set2 031821"
"03/18/2021 10:03:52"
""
"Completed"
"10 fold dilution"

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.204
"A2","A2",0.050
"A3","A3",0.526
"A4","A4",0.056
"A5","A5",0.055
"A6","A6",0.612
"A7","A7",0.208
"A8","A8",0.047
"A9","A9",0.754
"A10","A10",0.057
"A11","A11",0.835
"A12","A12",0.742
"B1","B1",0.107
"B2","B2",0.256
"B3","B3",0.118
"B4","B4",0.054
"B5","B5",0.643
"B6","B6",0.362
"B7","B7",0.093
"B8","B8",0.178
"B9","B9",0.116
"B10","B10",0.052
"B11","B11",0.810
"B12","B12",0.311
"C1","C1",0.890
"C2","C2",0.360
"C3","C3",0.662
"C4","C4",0.570
"C5","C5",0.040
"C6","C6",0.041
"C7","C7",0.947
"C8","C8",0.315
"C9","C9",0.830
"C10","C10",0.852
"C11","C11",0.824
"C12","C12",0.039
"D1","D1",0.048
"D2","D2",0.703
"D3","D3",0.638
"D4","D4",0.361
"D5","D5",0.103
"D6","D6",0.575
"D7","D7",0.045
"D8","D8",0.787
"D9","D9",0.751
"D10","D10",0.344
"D11","D11",0.125
"D12","D12",0.895
"E1","E1",0.112
"E2","E2",0.738
"E3","E3",0.667
"E4","E4",0.292
"E5","E5",0.100
"E6","E6",0.633
"E7","E7",0.100
"E8","E8",0.718
"E9","E9",0.748
"E10","E10",0.284
"E11","E11",0.360
"E12","E12",0.793
"F1","F1",0.543
"F2","F2",0.527
"F3","F3",0.714
"F4","F4",0.741
"F5","F5",0.727
"F6","F6",0.112
"F7","F7",0.506
"F8","F8",0.487
"F9","F9",0.880
"F10","F10",0.762
"F11","F11",0.749
"F12","F12",0.112
"G1","G1",0.111
"G2","G2",0.689
"G3","G3",0.611
"G4","G4",0.663
"G5","G5",0.650
"G6","G6",0.313
"G7","G7",0.091
"G8","G8",0.710
"G9","G9",0.822
"G10","G10",0.752
"G11","G11",0.686
"G12","G12",0.405
"H1","H1",0.040
"H2","H2",0.038
"H3","H3",0.043
"H4","H4",0.040
"H5","H5",0.041
"H6","H6",0.040
"H7","H7",0.039
"H8","H8",0.060
"H9","H9",0.042
"H10","H10",0.061
"H11","H11",0.039
"H12","H12",0.040
