"New assay (8)"
"FM P3 set2 031821"
"03/18/2021 10:06:00"
""
"Completed"
"10 fold dilution"

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.043
"A2","A2",0.054
"A3","A3",0.529
"A4","A4",0.058
"A5","A5",0.053
"A6","A6",0.618
"A7","A7",0.041
"A8","A8",0.049
"A9","A9",0.671
"A10","A10",0.057
"A11","A11",0.058
"A12","A12",0.706
"B1","B1",0.116
"B2","B2",0.144
"B3","B3",0.047
"B4","B4",0.621
"B5","B5",0.645
"B6","B6",0.383
"B7","B7",0.102
"B8","B8",0.122
"B9","B9",0.049
"B10","B10",0.661
"B11","B11",0.631
"B12","B12",0.357
"C1","C1",0.688
"C2","C2",0.333
"C3","C3",0.598
"C4","C4",0.613
"C5","C5",0.042
"C6","C6",0.041
"C7","C7",0.738
"C8","C8",0.350
"C9","C9",0.623
"C10","C10",0.684
"C11","C11",0.039
"C12","C12",0.039
"D1","D1",0.053
"D2","D2",0.607
"D3","D3",0.053
"D4","D4",0.312
"D5","D5",0.111
"D6","D6",0.551
"D7","D7",0.049
"D8","D8",0.752
"D9","D9",0.055
"D10","D10",0.280
"D11","D11",0.109
"D12","D12",0.748
"E1","E1",0.142
"E2","E2",0.562
"E3","E3",0.633
"E4","E4",0.158
"E5","E5",0.103
"E6","E6",0.632
"E7","E7",0.124
"E8","E8",0.785
"E9","E9",0.672
"E10","E10",0.220
"E11","E11",0.090
"E12","E12",0.688
"F1","F1",0.419
"F2","F2",0.417
"F3","F3",0.757
"F4","F4",1.074
"F5","F5",1.060
"F6","F6",0.107
"F7","F7",0.409
"F8","F8",0.424
"F9","F9",0.788
"F10","F10",0.950
"F11","F11",0.949
"F12","F12",0.105
"G1","G1",0.135
"G2","G2",0.617
"G3","G3",0.614
"G4","G4",0.774
"G5","G5",0.748
"G6","G6",0.353
"G7","G7",0.115
"G8","G8",0.747
"G9","G9",0.812
"G10","G10",0.823
"G11","G11",0.740
"G12","G12",0.334
"H1","H1",0.040
"H2","H2",0.040
"H3","H3",0.044
"H4","H4",0.041
"H5","H5",0.041
"H6","H6",0.039
"H7","H7",0.040
"H8","H8",0.041
"H9","H9",0.042
"H10","H10",0.041
"H11","H11",0.041
"H12","H12",0.040
