"OD600"
""
"03/25/2022 12:16"
""
"Assay was completed successfully."

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.890
"A2","A2",0.873
"A3","A3",0.443
"A4","A4",0.437
"A5","A5",0.541
"A6","A6",0.559
"A7","A7",0.392
"A8","A8",0.410
"A9","A9",0.366
"A10","A10",0.381
"A11","A11",0.440
"A12","A12",0.047
"B1","B1",0.644
"B2","B2",0.650
"B3","B3",0.604
"B4","B4",0.609
"B5","B5",0.485
"B6","B6",0.506
"B7","B7",0.379
"B8","B8",0.387
"B9","B9",0.386
"B10","B10",0.356
"B11","B11",0.552
"B12","B12",0.049
"C1","C1",0.612
"C2","C2",0.688
"C3","C3",0.553
"C4","C4",0.581
"C5","C5",0.504
"C6","C6",0.528
"C7","C7",0.427
"C8","C8",0.425
"C9","C9",0.412
"C10","C10",0.403
"C11","C11",0.525
"C12","C12",0.049
"D1","D1",0.728
"D2","D2",0.911
"D3","D3",0.571
"D4","D4",0.592
"D5","D5",0.462
"D6","D6",0.526
"D7","D7",0.425
"D8","D8",0.442
"D9","D9",0.419
"D10","D10",0.401
"D11","D11",0.545
"D12","D12",0.043
"E1","E1",1.146
"E2","E2",1.087
"E3","E3",0.391
"E4","E4",0.474
"E5","E5",0.550
"E6","E6",0.567
"E7","E7",0.396
"E8","E8",0.409
"E9","E9",0.363
"E10","E10",0.286
"E11","E11",0.527
"E12","E12",0.044
"F1","F1",0.793
"F2","F2",0.823
"F3","F3",0.709
"F4","F4",0.708
"F5","F5",0.468
"F6","F6",0.507
"F7","F7",0.661
"F8","F8",0.388
"F9","F9",0.385
"F10","F10",0.354
"F11","F11",0.686
"F12","F12",0.046
"G1","G1",0.814
"G2","G2",0.880
"G3","G3",0.619
"G4","G4",0.677
"G5","G5",0.500
"G6","G6",0.532
"G7","G7",0.447
"G8","G8",0.442
"G9","G9",0.427
"G10","G10",0.415
"G11","G11",0.843
"G12","G12",0.048
"H1","H1",0.954
"H2","H2",0.960
"H3","H3",0.692
"H4","H4",0.691
"H5","H5",0.495
"H6","H6",0.530
"H7","H7",0.431
"H8","H8",0.440
"H9","H9",0.414
"H10","H10",0.412
"H11","H11",0.739
"H12","H12",0.049
