"OD600"
""
"03/25/2022 12:18"
""
"Assay was completed successfully."

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.675
"A2","A2",0.659
"A3","A3",0.614
"A4","A4",0.615
"A5","A5",0.476
"A6","A6",0.645
"A7","A7",0.361
"A8","A8",0.380
"A9","A9",0.356
"A10","A10",0.345
"A11","A11",0.520
"A12","A12",0.044
"B1","B1",0.643
"B2","B2",0.645
"B3","B3",0.601
"B4","B4",0.621
"B5","B5",0.476
"B6","B6",0.517
"B7","B7",0.378
"B8","B8",0.383
"B9","B9",0.395
"B10","B10",0.357
"B11","B11",0.542
"B12","B12",0.046
"C1","C1",0.643
"C2","C2",0.664
"C3","C3",0.584
"C4","C4",0.633
"C5","C5",0.572
"C6","C6",0.521
"C7","C7",0.376
"C8","C8",0.399
"C9","C9",0.356
"C10","C10",0.391
"C11","C11",0.543
"C12","C12",0.044
"D1","D1",0.655
"D2","D2",0.603
"D3","D3",0.567
"D4","D4",0.556
"D5","D5",0.477
"D6","D6",0.620
"D7","D7",0.376
"D8","D8",0.391
"D9","D9",0.418
"D10","D10",0.361
"D11","D11",0.562
"D12","D12",0.045
"E1","E1",0.717
"E2","E2",0.745
"E3","E3",0.733
"E4","E4",0.738
"E5","E5",0.460
"E6","E6",0.649
"E7","E7",0.368
"E8","E8",0.393
"E9","E9",0.371
"E10","E10",0.364
"E11","E11",0.686
"E12","E12",0.045
"F1","F1",0.746
"F2","F2",0.782
"F3","F3",0.756
"F4","F4",0.748
"F5","F5",0.449
"F6","F6",0.512
"F7","F7",0.365
"F8","F8",0.396
"F9","F9",0.394
"F10","F10",0.361
"F11","F11",0.734
"F12","F12",0.047
"G1","G1",0.817
"G2","G2",0.802
"G3","G3",0.667
"G4","G4",0.727
"G5","G5",0.725
"G6","G6",0.694
"G7","G7",0.364
"G8","G8",0.394
"G9","G9",0.371
"G10","G10",0.408
"G11","G11",0.718
"G12","G12",0.045
"H1","H1",0.852
"H2","H2",0.781
"H3","H3",0.677
"H4","H4",0.667
"H5","H5",0.502
"H6","H6",0.649
"H7","H7",0.376
"H8","H8",0.414
"H9","H9",0.433
"H10","H10",0.385
"H11","H11",0.762
"H12","H12",0.045
