"OD600"
""
"04/21/2022 12:24"
""
"Assay was completed successfully."

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.648
"A2","A2",0.680
"A3","A3",0.625
"A4","A4",0.617
"A5","A5",0.446
"A6","A6",0.551
"A7","A7",0.446
"A8","A8",0.451
"A9","A9",0.426
"A10","A10",0.414
"A11","A11",0.601
"A12","A12",0.048
"B1","B1",0.906
"B2","B2",0.485
"B3","B3",0.452
"B4","B4",0.446
"B5","B5",0.655
"B6","B6",0.632
"B7","B7",0.685
"B8","B8",0.645
"B9","B9",0.415
"B10","B10",0.443
"B11","B11",0.560
"B12","B12",0.047
"C1","C1",0.432
"C2","C2",0.820
"C3","C3",0.587
"C4","C4",0.902
"C5","C5",0.396
"C6","C6",0.601
"C7","C7",0.437
"C8","C8",0.414
"C9","C9",0.435
"C10","C10",0.477
"C11","C11",0.670
"C12","C12",0.046
"D1","D1",0.046
"D2","D2",0.038
"D3","D3",0.047
"D4","D4",0.040
"D5","D5",0.040
"D6","D6",0.499
"D7","D7",0.044
"D8","D8",0.044
"D9","D9",0.039
"D10","D10",0.037
"D11","D11",0.038
"D12","D12",0.046
"E1","E1",0.773
"E2","E2",0.820
"E3","E3",0.739
"E4","E4",0.784
"E5","E5",0.501
"E6","E6",0.578
"E7","E7",0.446
"E8","E8",0.458
"E9","E9",0.421
"E10","E10",0.408
"E11","E11",0.852
"E12","E12",0.045
"F1","F1",0.887
"F2","F2",0.475
"F3","F3",0.429
"F4","F4",0.429
"F5","F5",0.778
"F6","F6",0.841
"F7","F7",0.809
"F8","F8",0.786
"F9","F9",0.409
"F10","F10",0.423
"F11","F11",0.760
"F12","F12",0.045
"G1","G1",0.429
"G2","G2",0.877
"G3","G3",1.115
"G4","G4",0.884
"G5","G5",0.402
"G6","G6",0.637
"G7","G7",0.434
"G8","G8",0.410
"G9","G9",0.450
"G10","G10",0.457
"G11","G11",1.127
"G12","G12",0.045
"H1","H1",0.045
"H2","H2",0.048
"H3","H3",0.046
"H4","H4",0.044
"H5","H5",0.038
"H6","H6",0.458
"H7","H7",0.037
"H8","H8",0.040
"H9","H9",0.043
"H10","H10",0.038
"H11","H11",0.041
"H12","H12",0.042
