"New assay (8)"
"FM set D1 032521"
"03/25/2021 11:05:12"
""
"Completed"
"10 fold dilution"

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.064
"A2","A2",0.057
"A3","A3",0.065
"A4","A4",0.076
"A5","A5",0.054
"A6","A6",0.057
"A7","A7",0.128
"A8","A8",0.055
"A9","A9",0.062
"A10","A10",0.215
"A11","A11",0.122
"A12","A12",0.046
"B1","B1",0.110
"B2","B2",0.896
"B3","B3",0.922
"B4","B4",0.631
"B5","B5",0.076
"B6","B6",0.063
"B7","B7",0.053
"B8","B8",0.714
"B9","B9",0.967
"B10","B10",0.063
"B11","B11",1.197
"B12","B12",0.041
"C1","C1",1.318
"C2","C2",1.138
"C3","C3",1.154
"C4","C4",0.743
"C5","C5",0.061
"C6","C6",0.288
"C7","C7",0.626
"C8","C8",1.200
"C9","C9",0.968
"C10","C10",0.226
"C11","C11",1.268
"C12","C12",0.039
"D1","D1",0.062
"D2","D2",0.849
"D3","D3",0.046
"D4","D4",0.068
"D5","D5",0.389
"D6","D6",0.045
"D7","D7",0.846
"D8","D8",0.062
"D9","D9",0.039
"D10","D10",0.040
"D11","D11",0.039
"D12","D12",0.040
"E1","E1",0.089
"E2","E2",0.070
"E3","E3",0.089
"E4","E4",0.062
"E5","E5",0.055
"E6","E6",0.064
"E7","E7",0.105
"E8","E8",0.072
"E9","E9",0.068
"E10","E10",0.219
"E11","E11",0.157
"E12","E12",0.043
"F1","F1",0.181
"F2","F2",0.379
"F3","F3",0.760
"F4","F4",0.335
"F5","F5",0.111
"F6","F6",0.061
"F7","F7",0.056
"F8","F8",0.417
"F9","F9",1.098
"F10","F10",0.063
"F11","F11",0.695
"F12","F12",0.043
"G1","G1",0.164
"G2","G2",0.137
"G3","G3",0.167
"G4","G4",0.139
"G5","G5",0.088
"G6","G6",0.264
"G7","G7",0.245
"G8","G8",0.101
"G9","G9",0.228
"G10","G10",0.208
"G11","G11",0.208
"G12","G12",0.042
"H1","H1",0.066
"H2","H2",0.760
"H3","H3",0.050
"H4","H4",0.077
"H5","H5",1.059
"H6","H6",0.046
"H7","H7",0.835
"H8","H8",0.063
"H9","H9",0.042
"H10","H10",0.041
"H11","H11",0.040
"H12","H12",0.040
