"New assay (8)"
"FM set D2 032521"
"03/25/2021 11:07:21"
""
"Completed"
"10 fold dilution"

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.074
"A2","A2",0.059
"A3","A3",0.314
"A4","A4",0.058
"A5","A5",0.061
"A6","A6",0.056
"A7","A7",0.072
"A8","A8",0.163
"A9","A9",0.110
"A10","A10",0.048
"A11","A11",0.061
"A12","A12",0.042
"B1","B1",0.120
"B2","B2",0.532
"B3","B3",0.289
"B4","B4",0.343
"B5","B5",0.145
"B6","B6",0.261
"B7","B7",0.147
"B8","B8",0.592
"B9","B9",0.128
"B10","B10",0.269
"B11","B11",1.084
"B12","B12",0.041
"C1","C1",0.140
"C2","C2",0.660
"C3","C3",0.113
"C4","C4",0.566
"C5","C5",0.118
"C6","C6",0.601
"C7","C7",0.803
"C8","C8",0.774
"C9","C9",0.114
"C10","C10",0.252
"C11","C11",0.753
"C12","C12",0.041
"D1","D1",0.059
"D2","D2",0.219
"D3","D3",0.042
"D4","D4",0.040
"D5","D5",0.056
"D6","D6",0.069
"D7","D7",0.539
"D8","D8",0.065
"D9","D9",0.040
"D10","D10",0.041
"D11","D11",0.041
"D12","D12",0.040
"E1","E1",0.092
"E2","E2",0.062
"E3","E3",0.091
"E4","E4",0.059
"E5","E5",0.079
"E6","E6",0.058
"E7","E7",0.075
"E8","E8",0.073
"E9","E9",0.087
"E10","E10",0.052
"E11","E11",0.058
"E12","E12",0.040
"F1","F1",0.099
"F2","F2",0.424
"F3","F3",0.248
"F4","F4",0.189
"F5","F5",0.113
"F6","F6",0.299
"F7","F7",0.236
"F8","F8",0.429
"F9","F9",0.115
"F10","F10",0.113
"F11","F11",0.168
"F12","F12",0.040
"G1","G1",0.096
"G2","G2",0.124
"G3","G3",0.115
"G4","G4",0.124
"G5","G5",0.081
"G6","G6",0.398
"G7","G7",0.156
"G8","G8",0.124
"G9","G9",0.087
"G10","G10",0.119
"G11","G11",0.331
"G12","G12",0.042
"H1","H1",0.056
"H2","H2",0.118
"H3","H3",0.044
"H4","H4",0.041
"H5","H5",0.057
"H6","H6",0.075
"H7","H7",0.739
"H8","H8",0.066
"H9","H9",0.041
"H10","H10",0.042
"H11","H11",0.041
"H12","H12",0.040
