"New assay (8)"
"FM set E2 032621"
"03/26/2021 09:38:35"
""
"Completed"
"10 fold dilution"

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.061
"A2","A2",0.068
"A3","A3",0.129
"A4","A4",0.051
"A5","A5",0.075
"A6","A6",0.076
"A7","A7",0.054
"A8","A8",0.042
"A9","A9",0.063
"A10","A10",0.074
"A11","A11",0.049
"A12","A12",0.041
"B1","B1",0.054
"B2","B2",0.094
"B3","B3",0.466
"B4","B4",0.216
"B5","B5",0.388
"B6","B6",0.040
"B7","B7",0.039
"B8","B8",0.137
"B9","B9",0.427
"B10","B10",0.051
"B11","B11",0.049
"B12","B12",0.044
"C1","C1",0.073
"C2","C2",0.084
"C3","C3",0.445
"C4","C4",0.217
"C5","C5",0.263
"C6","C6",0.083
"C7","C7",0.154
"C8","C8",0.126
"C9","C9",0.338
"C10","C10",0.075
"C11","C11",0.236
"C12","C12",0.039
"D1","D1",0.058
"D2","D2",0.348
"D3","D3",0.386
"D4","D4",0.293
"D5","D5",0.399
"D6","D6",0.041
"D7","D7",0.042
"D8","D8",0.041
"D9","D9",0.040
"D10","D10",0.039
"D11","D11",0.064
"D12","D12",0.038
"E1","E1",0.065
"E2","E2",0.060
"E3","E3",0.134
"E4","E4",0.047
"E5","E5",0.066
"E6","E6",0.080
"E7","E7",0.053
"E8","E8",0.044
"E9","E9",0.067
"E10","E10",0.081
"E11","E11",0.047
"E12","E12",0.041
"F1","F1",0.050
"F2","F2",0.096
"F3","F3",0.449
"F4","F4",0.240
"F5","F5",0.368
"F6","F6",0.039
"F7","F7",0.039
"F8","F8",0.140
"F9","F9",0.442
"F10","F10",0.048
"F11","F11",0.050
"F12","F12",0.039
"G1","G1",0.076
"G2","G2",0.077
"G3","G3",0.419
"G4","G4",0.265
"G5","G5",0.259
"G6","G6",0.087
"G7","G7",0.194
"G8","G8",0.136
"G9","G9",0.326
"G10","G10",0.076
"G11","G11",0.260
"G12","G12",0.042
"H1","H1",0.056
"H2","H2",0.342
"H3","H3",0.366
"H4","H4",0.291
"H5","H5",0.390
"H6","H6",0.040
"H7","H7",0.038
"H8","H8",0.042
"H9","H9",0.043
"H10","H10",0.040
"H11","H11",0.062
"H12","H12",0.040
