sample_id	density	production	prod_level
7_D_TasdA_P_asdD_aspC_DlysC_I_24_M1	2.53	2.227281264	High
M_D_TasdA_P_asdD_aspC_DrhtA_0_24_M1	2.52	0.0085	Low
M_D_TasdA1_P_asdD_rhtA_DtdhDdapA_0_6_M1	0.13	0.0	None
M_D_Tasd_P_asdD_000_DdhaM_0_4p5_M1	0.26	0.0	None
M_D_TasdA_P_asdD_aspC_DtdhDptsG_I_24_M1	0.92	0.215462899	Low
7_D_TasdA_P_asdD_000_DptsG_I_6_M1	0.26	0.0	None
7_D_TasdA1_P_asdD_rhtA_DptsG_I_6_M1	0.24	0.0	None
M_D_TasdA_P_asdD_aceBA_DtdhDlysA_0_12_M1	0.29	0.020715023	Low
M_D_TasdA_P_asdD_rhtA_DmetL_0_6_M1	0.09	0.0	None
7_D_Tasd_P_asdD_pyc_DdhaM_I_24_M1	0.65	0.0	None
M_D_TasdA_P_asdD_zwf_DtdhDlysC_0_12_M1	0.25	0.103160218	Low
M_D_Tasd_P_asdD_000_DmetL_0_6_M1	0.01	0.0	None
7_D_TasdA1_P_asdD_rhtA_DtdhDrhtA_I_6_M1	0.38	0.0	None
M_D_TasdA_P_asdD_rhtA_DtdhDdapA_0_24_M1	0.37	0.104425971	Low
7_D_Tasd_P_asdD_rhtA_DlysA_I_6_M1	0.11	0.0	None
7_D_TasdA_P_asdD_rhtA_DtdhDrhtA_I_12_M1	0.13	0.0	None
7_D_TasdA_P_asdD_pyc_DtdhDlysC_0_6_M1	0.0	0.079084874	Low
M_D_TasdA_P_asdD_pyc_DtdhDptsG_0_6_M1	0.0	0.0	None
7_D_TasdA_P_asdD_zwf_DdapA_0_24_M1	0.0	0.0	None
M_D_TasdA_P_asdD_000_DtdhDlysC_0_5p5_M1	0.54	0.139	Low
7_D_TasdA1_P_asdD_rhtA_DtdhDrhtA_0_6_M1	0.39	0.0	None
7_D_TasdA_P_asdD_aspC_DmetL_I_12_M1	0.05	0.0	None
M_D_TasdA_P_asdD_000_DlysA_I_12_M1	2.54	0.734	Low
M_D_TasdA1_P_asdD_000_DptsG_0_24_M1	2.87	0.0	None
7_D_TasdA_P_asdD_zwf_DdapA_0_4p5_M1	0.0	0.0	None
7_D_TasdA_P_asdD_rhtA_DmetL_0_12_M1	0.02	0.003037376	Low
7_D_TasdA1_P_asdD_000_DlysA_0_6_M1	0.34	0.0	None
7_D_TasdA_P_asdD_000_DptsG_0_12_M1	0.65	0.0	None
M_D_TasdA_P_asdD_pntAB_Dtdh_I_6_M1	0.48	0.202184545	Low
7_D_Tasd_P_asdD_000_DmetL_0_6_M1	0.27	0.0	None
7_D_Tasd_P_asdD_000_DrhtA_I_5p5_M1	0.26	0.0	None
7_D_TasdA_P_asdD_aspC_DdhaM_0_12_M1	4.03	0.167957653	Low
7_D_Tasd_P_asdD_rhtA_DtdhDdapA_I_6_M1	0.16	0.0	None
M_D_TasdA_P_asdD_rhtA_DdhaM_0_24_M1	0.89	0.0	None
